stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5677,0.4992,0.7762
stage1,2,0.5267,0.6009,0.7921
stage1,3,0.5171,0.7707,0.7874
stage1,4,0.5175,1.2327,0.7914
stage1,5,0.5187,0.6503,0.7727
stage2,6,0.4873,0.8582,0.8173
stage2,7,0.4243,0.5301,0.8331
stage2,8,0.3827,0.9029,0.8430
stage2,9,0.3270,0.4949,0.8405
stage2,10,0.2979,0.5329,0.8574
stage2,11,0.2696,0.5004,0.8498
stage2,12,0.2332,0.4011,0.8659
stage2,13,0.2245,0.4980,0.8717
stage2,14,0.2080,0.4798,0.8823
stage2,15,0.1850,0.4531,0.8678
