stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5716,0.7093,0.8034
stage1,2,0.5001,0.7691,0.8136
stage1,3,0.4899,0.6614,0.8155
stage1,4,0.5016,0.6356,0.8185
stage1,5,0.4863,0.5901,0.8154
stage2,6,0.4681,0.5002,0.8513
stage2,7,0.3821,0.4767,0.8675
stage2,8,0.3416,0.4658,0.8732
stage2,9,0.3197,0.6014,0.8779
stage2,10,0.2738,0.4678,0.8869
stage2,11,0.2365,0.4164,0.8810
stage2,12,0.2429,0.3794,0.8732
stage2,13,0.1961,0.4270,0.8757
stage2,14,0.1613,0.3779,0.8629
stage2,15,0.1604,0.3825,0.8511
