stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6135,0.6375,0.7621
stage1,2,0.5078,0.7895,0.7994
stage1,3,0.4868,0.6407,0.7950
stage1,4,0.4884,0.7260,0.8096
stage1,5,0.4593,0.6002,0.8103
stage2,6,0.4608,0.5797,0.8304
stage2,7,0.3638,0.4292,0.8344
stage2,8,0.3325,0.3596,0.8424
stage2,9,0.2823,0.4328,0.8511
stage2,10,0.2434,0.3504,0.8355
stage2,11,0.2085,0.6392,0.8622
stage2,12,0.2167,0.5437,0.8617
stage2,13,0.1795,0.4254,0.8706
stage2,14,0.1927,0.4223,0.8569
stage2,15,0.1581,0.3598,0.8514
