stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5715,0.6947,0.8128
stage1,2,0.5176,0.5642,0.8158
stage1,3,0.5110,0.5275,0.8185
stage1,4,0.4956,0.5745,0.8239
stage1,5,0.4926,0.6303,0.8210
stage2,6,0.4711,0.5934,0.8556
stage2,7,0.3945,0.5732,0.8635
stage2,8,0.3415,0.4637,0.8924
stage2,9,0.3160,0.5216,0.8826
stage2,10,0.2841,0.4758,0.8858
stage2,11,0.2691,0.4364,0.8849
stage2,12,0.2289,0.4834,0.8885
stage2,13,0.2053,0.4165,0.8758
stage2,14,0.2015,0.4945,0.8831
stage2,15,0.1890,0.4811,0.8692
