stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6226,0.8112,0.7716
stage1,2,0.5484,0.6939,0.7812
stage1,3,0.5222,0.6094,0.7821
stage1,4,0.5278,0.6930,0.7948
stage1,5,0.5091,0.5904,0.7921
stage2,6,0.4775,0.5893,0.8188
stage2,7,0.3984,0.5349,0.8358
stage2,8,0.3581,0.4985,0.8345
stage2,9,0.3107,0.4191,0.8274
stage2,10,0.2771,0.4921,0.8442
stage2,11,0.2662,0.4009,0.8401
stage2,12,0.2331,0.4190,0.8412
stage2,13,0.2058,0.4340,0.8442
stage2,14,0.1542,0.4031,0.8363
stage2,15,0.1496,0.3945,0.8326
