stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5434,0.7150,0.8074
stage1,2,0.5047,0.5197,0.8213
stage1,3,0.5117,0.4918,0.8132
stage1,4,0.5031,0.4509,0.8204
stage1,5,0.4925,0.5979,0.8177
stage2,6,0.4498,0.5209,0.8599
stage2,7,0.3947,0.4190,0.8852
stage2,8,0.3501,0.3511,0.8830
stage2,9,0.2981,0.4144,0.8886
stage2,10,0.2720,0.3790,0.8771
stage2,11,0.2591,0.4710,0.8743
stage2,12,0.2356,0.4549,0.8939
stage2,13,0.2063,0.3917,0.8840
stage2,14,0.1873,0.3930,0.8914
stage2,15,0.1795,0.4002,0.8905
