stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5497,0.5710,0.8427
stage1,2,0.5080,0.6024,0.8318
stage1,3,0.5018,0.6491,0.8453
stage1,4,0.4831,0.7161,0.8452
stage1,5,0.4959,0.4795,0.8504
stage2,6,0.4753,0.5529,0.8777
stage2,7,0.3809,0.5442,0.8838
stage2,8,0.3467,0.3503,0.8964
stage2,9,0.3121,0.4754,0.9034
stage2,10,0.2789,0.3991,0.8955
stage2,11,0.2581,0.3762,0.8999
stage2,12,0.2392,0.2818,0.9022
stage2,13,0.2158,0.5058,0.9061
stage2,14,0.2087,0.3073,0.9115
stage2,15,0.1820,0.3821,0.9097
