stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5479,0.3984,0.8208
stage1,2,0.5035,0.4115,0.8365
stage1,3,0.4969,0.3739,0.8342
stage1,4,0.4979,0.4861,0.8396
stage1,5,0.5033,0.4618,0.8417
stage2,6,0.4573,0.3732,0.8697
stage2,7,0.4181,0.4071,0.8931
stage2,8,0.3822,0.3458,0.8921
stage2,9,0.3447,0.4538,0.8898
stage2,10,0.3378,0.3745,0.8772
stage2,11,0.3164,0.4640,0.8860
stage2,12,0.3066,0.4132,0.9014
stage2,13,0.2742,0.4385,0.8956
stage2,14,0.2524,0.3427,0.8939
stage2,15,0.2444,0.3568,0.9025
