stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5728,0.6630,0.6269
stage1,2,0.5383,0.5705,0.7397
stage1,3,0.5562,0.5201,0.7745
stage1,4,0.5326,0.4738,0.7962
stage1,5,0.5350,0.4436,0.8095
stage2,6,0.5276,0.4240,0.8217
stage2,7,0.5014,0.4147,0.8336
stage2,8,0.4877,0.4122,0.8444
stage2,9,0.4647,0.3997,0.8567
stage2,10,0.4502,0.3971,0.8646
stage2,11,0.4291,0.3862,0.8711
stage2,12,0.3947,0.3806,0.8779
stage2,13,0.3946,0.3803,0.8843
stage2,14,0.3918,0.3736,0.8898
stage2,15,0.3540,0.3613,0.8953
stage2,16,0.3434,0.3495,0.8984
stage2,17,0.3388,0.3460,0.9003
stage2,18,0.3411,0.3488,0.9005
stage2,19,0.3140,0.3475,0.9004
stage2,20,0.3090,0.3417,0.9003
stage2,21,0.3035,0.3368,0.9006
stage2,22,0.3317,0.3344,0.9007
stage2,23,0.3120,0.3340,0.9004
