stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6120,0.6181,0.7400
stage1,2,0.5635,0.6669,0.7661
stage1,3,0.5213,0.6137,0.7743
stage1,4,0.5022,0.5572,0.7682
stage1,5,0.4939,0.5429,0.7775
stage2,6,0.4917,0.5029,0.8046
stage2,7,0.3988,0.4829,0.8250
stage2,8,0.3527,0.3871,0.8169
stage2,9,0.3125,0.4129,0.8180
stage2,10,0.2793,0.4306,0.8148
stage2,11,0.2397,0.3828,0.8173
stage2,12,0.2237,0.3810,0.8228
stage2,13,0.1955,0.3787,0.8171
stage2,14,0.1711,0.4160,0.8396
stage2,15,0.1668,0.3838,0.8201
