stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5574,0.6613,0.8150
stage1,2,0.5159,0.6736,0.8177
stage1,3,0.5003,0.6359,0.8305
stage1,4,0.5066,0.6969,0.8239
stage1,5,0.4964,0.5664,0.8328
stage2,6,0.4720,0.6059,0.8655
stage2,7,0.3962,0.5726,0.8721
stage2,8,0.3835,0.4933,0.8896
stage2,9,0.3242,0.5817,0.8860
stage2,10,0.3075,0.5597,0.8856
stage2,11,0.2878,0.4319,0.8843
stage2,12,0.2706,0.3842,0.8925
stage2,13,0.2325,0.3244,0.8938
stage2,14,0.2182,0.4474,0.8901
stage2,15,0.1977,0.4985,0.8895
