stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6027,0.5219,0.8068
stage1,2,0.5308,0.5715,0.8145
stage1,3,0.4924,0.7329,0.8318
stage1,4,0.5091,0.6314,0.8254
stage1,5,0.4760,0.6741,0.8292
stage2,6,0.4690,0.4457,0.8657
stage2,7,0.3883,0.4331,0.8614
stage2,8,0.3392,0.4622,0.8692
stage2,9,0.2666,0.3426,0.8605
stage2,10,0.2397,0.4659,0.8729
stage2,11,0.2318,0.4398,0.8659
stage2,12,0.2254,0.3884,0.8726
stage2,13,0.1665,0.3761,0.8628
stage2,14,0.1722,0.4723,0.8818
stage2,15,0.1366,0.3630,0.8674
