stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5468,0.4025,0.8213
stage1,2,0.4966,0.4193,0.8231
stage1,3,0.4857,0.4298,0.8291
stage1,4,0.4877,0.3239,0.8198
stage1,5,0.4895,0.3477,0.8289
stage2,6,0.4640,0.3557,0.8603
stage2,7,0.4053,0.4388,0.8673
stage2,8,0.3715,0.4339,0.8761
stage2,9,0.3465,0.3522,0.8837
stage2,10,0.3264,0.4617,0.8902
stage2,11,0.3049,0.4736,0.9029
stage2,12,0.2824,0.3803,0.8965
stage2,13,0.2613,0.3072,0.8947
stage2,14,0.2529,0.4024,0.8952
stage2,15,0.2474,0.3776,0.8912
