stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5582,0.5755,0.8080
stage1,2,0.5160,0.6308,0.8297
stage1,3,0.5050,0.4794,0.8217
stage1,4,0.5160,0.5469,0.8260
stage1,5,0.4992,0.5507,0.8355
stage2,6,0.4891,0.4382,0.8889
stage2,7,0.3878,0.3527,0.8839
stage2,8,0.3524,0.5148,0.8923
stage2,9,0.3229,0.3359,0.9056
stage2,10,0.2841,0.3792,0.8994
stage2,11,0.2671,0.3732,0.9046
stage2,12,0.2481,0.3728,0.8972
stage2,13,0.2201,0.3701,0.9047
stage2,14,0.2037,0.3339,0.8980
stage2,15,0.1958,0.3616,0.9106
