stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5792,0.7936,0.7815
stage1,2,0.5393,0.6393,0.8150
stage1,3,0.5349,0.7320,0.7965
stage1,4,0.5320,0.5324,0.8209
stage1,5,0.5251,0.7842,0.8212
stage2,6,0.4995,2.0673,0.8371
stage2,7,0.4318,0.5236,0.8685
stage2,8,0.3842,0.4504,0.8695
stage2,9,0.3405,0.4171,0.8705
stage2,10,0.3131,0.3601,0.8793
stage2,11,0.2904,0.4172,0.8767
stage2,12,0.2502,0.3624,0.8941
stage2,13,0.2189,0.4002,0.8869
stage2,14,0.2094,0.4228,0.8951
stage2,15,0.1982,0.3934,0.9034
