stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5774,0.5866,0.8048
stage1,2,0.5152,0.6310,0.8260
stage1,3,0.5075,0.5353,0.8323
stage1,4,0.4797,0.5408,0.8273
stage1,5,0.4783,0.5809,0.8261
stage2,6,0.4766,0.5443,0.8515
stage2,7,0.4051,0.4839,0.8728
stage2,8,0.3499,0.4136,0.8634
stage2,9,0.3238,0.4270,0.8701
stage2,10,0.2809,0.4452,0.8822
stage2,11,0.2689,0.3764,0.8732
stage2,12,0.2215,0.4740,0.8739
stage2,13,0.2162,0.4417,0.8699
stage2,14,0.1738,0.4437,0.8737
stage2,15,0.1763,0.4111,0.8745
