stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5616,0.7096,0.7842
stage1,2,0.5023,0.6405,0.8015
stage1,3,0.4976,0.5800,0.8128
stage1,4,0.4898,0.7005,0.8087
stage1,5,0.4872,0.5191,0.8131
stage2,6,0.4515,0.5295,0.8605
stage2,7,0.3839,0.4071,0.8656
stage2,8,0.3432,0.4146,0.8718
stage2,9,0.2953,0.3988,0.8796
stage2,10,0.2622,0.4780,0.8837
stage2,11,0.2501,0.3247,0.8740
stage2,12,0.2264,0.3543,0.8711
stage2,13,0.2005,0.4929,0.8871
stage2,14,0.1864,0.3886,0.8868
stage2,15,0.1548,0.3601,0.8846
