stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6205,0.6128,0.7625
stage1,2,0.5624,0.6729,0.7795
stage1,3,0.5190,0.5842,0.7750
stage1,4,0.4956,0.6830,0.7917
stage1,5,0.4977,0.5127,0.7712
stage2,6,0.4805,0.5941,0.8049
stage2,7,0.4233,0.5329,0.8253
stage2,8,0.3378,0.4703,0.8371
stage2,9,0.3024,0.4228,0.8412
stage2,10,0.2619,0.5285,0.8336
stage2,11,0.2677,0.4027,0.8444
stage2,12,0.2015,0.4094,0.8460
stage2,13,0.1908,0.4334,0.8280
stage2,14,0.2022,0.4104,0.8551
stage2,15,0.1657,0.4813,0.8493
