stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5914,0.5388,0.7787
stage1,2,0.5144,0.6122,0.8043
stage1,3,0.4900,0.5133,0.8033
stage1,4,0.4992,0.6912,0.8192
stage1,5,0.4565,0.6480,0.8173
stage2,6,0.4501,0.4761,0.8324
stage2,7,0.3483,0.5195,0.8323
stage2,8,0.3130,0.4263,0.8332
stage2,9,0.2647,0.5051,0.8238
stage2,10,0.2466,0.5296,0.8375
stage2,11,0.2345,0.4360,0.8280
stage2,12,0.2138,0.4492,0.8291
stage2,13,0.1803,0.4349,0.8138
stage2,14,0.1608,0.4884,0.8267
stage2,15,0.1434,0.4541,0.8123
