stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5569,0.7843,0.8315
stage1,2,0.5099,0.6822,0.8375
stage1,3,0.5024,0.6722,0.8504
stage1,4,0.4945,0.6218,0.8444
stage1,5,0.4849,0.6670,0.8451
stage2,6,0.4543,0.4368,0.8738
stage2,7,0.3855,0.4901,0.9038
stage2,8,0.3385,0.4261,0.8921
stage2,9,0.2988,0.4126,0.9061
stage2,10,0.2734,0.3652,0.9090
stage2,11,0.2422,0.3003,0.9080
stage2,12,0.2313,0.3658,0.9097
stage2,13,0.2084,0.3354,0.9107
stage2,14,0.1952,0.3443,0.9149
stage2,15,0.1718,0.3560,0.9147
