stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5428,0.4942,0.7927
stage1,2,0.5095,0.5711,0.8091
stage1,3,0.5034,0.5214,0.8076
stage1,4,0.4842,0.5258,0.8083
stage1,5,0.4869,0.6167,0.8107
stage2,6,0.4646,0.6322,0.8319
stage2,7,0.4106,0.5246,0.8524
stage2,8,0.3463,0.3910,0.8688
stage2,9,0.3287,0.4462,0.8694
stage2,10,0.2911,0.3689,0.8909
stage2,11,0.2502,0.3953,0.8886
stage2,12,0.2242,0.4334,0.8982
stage2,13,0.2052,0.3430,0.8932
stage2,14,0.1896,0.3296,0.8950
stage2,15,0.1829,0.3272,0.8973
