stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5414,0.5025,0.8141
stage1,2,0.5002,0.4548,0.8240
stage1,3,0.4964,0.4398,0.8231
stage1,4,0.4973,0.3954,0.8353
stage1,5,0.5018,0.4259,0.8327
stage2,6,0.4670,0.4161,0.8697
stage2,7,0.4155,0.4191,0.8890
stage2,8,0.3786,0.4065,0.8987
stage2,9,0.3582,0.4008,0.8884
stage2,10,0.3250,0.3468,0.8936
stage2,11,0.3116,0.3210,0.8968
stage2,12,0.2801,0.3738,0.8859
stage2,13,0.2442,0.4070,0.8671
stage2,14,0.2516,0.3010,0.8884
stage2,15,0.2392,0.3856,0.8855
