stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5681,0.5776,0.8006
stage1,2,0.5220,0.6592,0.8083
stage1,3,0.5157,0.6743,0.8038
stage1,4,0.4952,0.6755,0.8023
stage1,5,0.4727,0.6806,0.8118
stage2,6,0.4660,0.6090,0.8470
stage2,7,0.3957,0.4838,0.8628
stage2,8,0.3537,0.4505,0.8664
stage2,9,0.3207,0.5615,0.8728
stage2,10,0.2708,0.4037,0.8607
stage2,11,0.2561,0.5663,0.8788
stage2,12,0.2322,0.4864,0.8736
stage2,13,0.1965,0.4725,0.8610
stage2,14,0.1757,0.4334,0.8718
stage2,15,0.1647,0.4883,0.8695
