stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5831,0.6678,0.8046
stage1,2,0.5277,0.5762,0.8252
stage1,3,0.5028,0.5321,0.8248
stage1,4,0.4996,0.5739,0.8453
stage1,5,0.4969,0.5130,0.8354
stage2,6,0.4610,0.4861,0.8400
stage2,7,0.4060,0.4936,0.8757
stage2,8,0.3653,0.4188,0.8758
stage2,9,0.3135,0.5080,0.8863
stage2,10,0.2665,0.3588,0.8906
stage2,11,0.2498,0.3851,0.8916
stage2,12,0.2263,0.3577,0.8888
stage2,13,0.2118,0.3683,0.8884
stage2,14,0.1762,0.3073,0.8992
stage2,15,0.1609,0.3875,0.9046
