stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5689,1.4049,0.7799
stage1,2,0.5309,0.8915,0.7848
stage1,3,0.5145,0.6278,0.7938
stage1,4,0.5147,0.6354,0.7840
stage1,5,0.5165,0.5952,0.7998
stage2,6,0.4852,0.5912,0.8216
stage2,7,0.4171,0.6631,0.8462
stage2,8,0.3752,0.5951,0.8551
stage2,9,0.3367,0.4347,0.8700
stage2,10,0.2954,0.5116,0.8797
stage2,11,0.2532,0.5677,0.8734
stage2,12,0.2354,0.4833,0.8882
stage2,13,0.2229,0.6024,0.8759
stage2,14,0.2016,0.5491,0.8724
stage2,15,0.1835,0.4295,0.8743
