stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5474,0.5001,0.8517
stage1,2,0.5131,0.5730,0.8641
stage1,3,0.5127,0.5797,0.8627
stage1,4,0.5189,0.4739,0.8626
stage1,5,0.5129,0.5360,0.8579
stage2,6,0.4833,0.4516,0.8842
stage2,7,0.4240,0.3640,0.8950
stage2,8,0.3833,0.3608,0.9025
stage2,9,0.3313,0.3004,0.8945
stage2,10,0.2900,0.3613,0.9043
stage2,11,0.2544,0.3823,0.9050
stage2,12,0.2327,0.3815,0.9100
stage2,13,0.2101,0.3496,0.9035
stage2,14,0.1927,0.3598,0.9062
stage2,15,0.2030,0.3304,0.9091
