stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5702,0.5362,0.7743
stage1,2,0.5358,0.5430,0.7723
stage1,3,0.5232,0.6971,0.7832
stage1,4,0.5254,0.5552,0.7895
stage1,5,0.5110,0.5048,0.7860
stage2,6,0.4810,0.4683,0.8265
stage2,7,0.4088,0.4772,0.8489
stage2,8,0.3711,0.4598,0.8625
stage2,9,0.3240,0.4102,0.8657
stage2,10,0.2985,0.3912,0.8706
stage2,11,0.2623,0.3754,0.8830
stage2,12,0.2378,0.3797,0.8943
stage2,13,0.2158,0.3362,0.8942
stage2,14,0.1872,0.3787,0.8963
stage2,15,0.1830,0.4250,0.9006
