stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5627,0.5204,0.8004
stage1,2,0.5011,0.6169,0.8201
stage1,3,0.4865,0.7339,0.8289
stage1,4,0.4868,0.6852,0.8287
stage1,5,0.5006,0.6426,0.8197
stage2,6,0.4638,0.5388,0.8443
stage2,7,0.3984,0.6060,0.8598
stage2,8,0.3505,0.5574,0.8721
stage2,9,0.2998,0.4360,0.8748
stage2,10,0.2906,0.4202,0.8659
stage2,11,0.2576,0.4768,0.8826
stage2,12,0.2381,0.6002,0.8743
stage2,13,0.2175,0.5014,0.8793
stage2,14,0.1863,0.4312,0.8789
stage2,15,0.1859,0.4603,0.8801
