stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5531,0.6541,0.7991
stage1,2,0.5128,0.5523,0.8019
stage1,3,0.5028,0.5441,0.8127
stage1,4,0.4964,0.5042,0.8149
stage1,5,0.4852,0.4875,0.8185
stage2,6,0.4643,0.4810,0.8690
stage2,7,0.3983,0.4936,0.8747
stage2,8,0.3436,0.4266,0.8912
stage2,9,0.3175,0.4511,0.8904
stage2,10,0.2712,0.4402,0.8995
stage2,11,0.2529,0.3989,0.9003
stage2,12,0.2352,0.3359,0.9033
stage2,13,0.2131,0.2942,0.9063
stage2,14,0.1980,0.3251,0.8993
stage2,15,0.1857,0.3277,0.8836
