stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5842,0.6146,0.7655
stage1,2,0.5106,0.5710,0.7782
stage1,3,0.4848,0.6278,0.7926
stage1,4,0.4425,0.5598,0.7769
stage1,5,0.4552,0.6516,0.7887
stage2,6,0.4437,0.4795,0.8091
stage2,7,0.3932,0.5365,0.8293
stage2,8,0.3177,0.5351,0.8372
stage2,9,0.2645,0.4581,0.8157
stage2,10,0.2486,0.4542,0.8338
stage2,11,0.2162,0.5474,0.8414
stage2,12,0.2006,0.4206,0.8416
stage2,13,0.1656,0.3671,0.8345
stage2,14,0.1375,0.5041,0.8437
stage2,15,0.1413,0.5751,0.8249
