stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5616,0.6275,0.8477
stage1,2,0.5134,0.7057,0.8558
stage1,3,0.5216,0.6690,0.8529
stage1,4,0.5083,0.5771,0.8539
stage1,5,0.5054,0.5248,0.8595
stage2,6,0.4918,0.4534,0.8758
stage2,7,0.4008,0.3881,0.9028
stage2,8,0.3678,0.4328,0.9104
stage2,9,0.3308,0.3240,0.9084
stage2,10,0.2969,0.4115,0.9191
stage2,11,0.2702,0.3977,0.9312
stage2,12,0.2311,0.3922,0.9133
stage2,13,0.2290,0.3156,0.9251
stage2,14,0.2121,0.3374,0.9142
stage2,15,0.1797,0.2840,0.9209
