stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5619,0.5759,0.8338
stage1,2,0.5087,0.4905,0.8429
stage1,3,0.5027,0.5589,0.8380
stage1,4,0.4839,0.5439,0.8367
stage1,5,0.4955,0.4297,0.8414
stage2,6,0.4658,0.4082,0.8719
stage2,7,0.3879,0.5055,0.8983
stage2,8,0.3500,0.3621,0.8902
stage2,9,0.3125,0.4715,0.8985
stage2,10,0.2913,0.4333,0.9009
stage2,11,0.2684,0.4034,0.9000
stage2,12,0.2341,0.4111,0.8936
stage2,13,0.2094,0.4343,0.8916
stage2,14,0.1982,0.3691,0.8906
stage2,15,0.1849,0.3667,0.8913
