stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5590,0.5801,0.8151
stage1,2,0.5096,0.5620,0.7993
stage1,3,0.4981,0.5655,0.8160
stage1,4,0.5015,0.6832,0.8259
stage1,5,0.4882,0.6053,0.8213
stage2,6,0.4676,0.4941,0.8616
stage2,7,0.3854,0.5622,0.8711
stage2,8,0.3462,0.4188,0.8823
stage2,9,0.3165,0.3835,0.9007
stage2,10,0.2787,0.3644,0.8852
stage2,11,0.2572,0.3784,0.8809
stage2,12,0.2186,0.4394,0.8845
stage2,13,0.2112,0.3726,0.8751
stage2,14,0.1916,0.3831,0.8903
stage2,15,0.1768,0.4104,0.8950
