stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5778,0.6014,0.6493
stage1,2,0.5415,0.5457,0.7385
stage1,3,0.5341,0.5033,0.7729
stage1,4,0.5304,0.4709,0.7923
stage1,5,0.5150,0.4507,0.8094
stage2,6,0.5228,0.4329,0.8276
stage2,7,0.5152,0.4170,0.8423
stage2,8,0.4889,0.4061,0.8552
stage2,9,0.4810,0.3958,0.8696
stage2,10,0.4376,0.3852,0.8847
stage2,11,0.4269,0.3723,0.8974
stage2,12,0.4199,0.3602,0.9034
stage2,13,0.4178,0.3567,0.9079
stage2,14,0.3944,0.3564,0.9116
stage2,15,0.3867,0.3598,0.9163
stage2,16,0.3777,0.3601,0.9191
stage2,17,0.3538,0.3554,0.9219
stage2,18,0.3384,0.3530,0.9230
stage2,19,0.3471,0.3498,0.9239
stage2,20,0.3190,0.3473,0.9242
stage2,21,0.3091,0.3435,0.9244
stage2,22,0.3173,0.3384,0.9243
stage2,23,0.3187,0.3354,0.9244
