stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5467,0.4583,0.8293
stage1,2,0.4971,0.3850,0.8345
stage1,3,0.5022,0.3742,0.8314
stage1,4,0.4900,0.3791,0.8309
stage1,5,0.4852,0.4131,0.8257
stage2,6,0.4598,0.3649,0.8638
stage2,7,0.4055,0.3541,0.8890
stage2,8,0.3788,0.3698,0.8915
stage2,9,0.3515,0.3835,0.8928
stage2,10,0.3155,0.3230,0.9017
stage2,11,0.3020,0.3506,0.9061
stage2,12,0.2804,0.3705,0.9059
stage2,13,0.2669,0.3922,0.9105
stage2,14,0.2524,0.3608,0.9141
stage2,15,0.2403,0.2978,0.9029
