stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5846,0.6713,0.7922
stage1,2,0.5238,0.6379,0.8131
stage1,3,0.4835,0.4937,0.7975
stage1,4,0.4860,0.6572,0.8037
stage1,5,0.4814,0.5483,0.8122
stage2,6,0.4696,0.4509,0.8350
stage2,7,0.3800,0.5482,0.8604
stage2,8,0.3473,0.4809,0.8639
stage2,9,0.3093,0.4276,0.8719
stage2,10,0.2739,0.4649,0.8762
stage2,11,0.2423,0.3972,0.8841
stage2,12,0.2108,0.3489,0.8853
stage2,13,0.1812,0.3508,0.8824
stage2,14,0.1760,0.3669,0.8836
stage2,15,0.1572,0.4006,0.8683
