stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5816,0.6466,0.8215
stage1,2,0.5328,0.6336,0.8300
stage1,3,0.5051,0.5619,0.8376
stage1,4,0.5176,0.5814,0.8336
stage1,5,0.5161,0.5439,0.8457
stage2,6,0.4894,0.5635,0.8555
stage2,7,0.4007,0.4410,0.8819
stage2,8,0.3540,0.3534,0.8950
stage2,9,0.3277,0.4525,0.8758
stage2,10,0.3088,0.4649,0.8874
stage2,11,0.2477,0.3412,0.8826
stage2,12,0.2251,0.3357,0.8851
stage2,13,0.2126,0.2833,0.8725
stage2,14,0.2171,0.3356,0.8897
stage2,15,0.1877,0.3354,0.8872
