stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5796,0.5701,0.7982
stage1,2,0.5239,0.5689,0.8204
stage1,3,0.5015,0.7881,0.8401
stage1,4,0.5072,0.5666,0.8314
stage1,5,0.4945,0.5200,0.8259
stage2,6,0.4704,0.4932,0.8599
stage2,7,0.4071,0.4983,0.8759
stage2,8,0.3430,0.4262,0.8863
stage2,9,0.3233,0.4513,0.8788
stage2,10,0.2859,0.4299,0.8808
stage2,11,0.2562,0.3781,0.8574
stage2,12,0.2319,0.5272,0.8825
stage2,13,0.2127,0.4490,0.8696
stage2,14,0.1807,0.5368,0.8563
stage2,15,0.1829,0.4200,0.8711
