stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5630,0.5896,0.8460
stage1,2,0.5186,0.5916,0.8442
stage1,3,0.5149,0.5982,0.8428
stage1,4,0.4908,0.4786,0.8441
stage1,5,0.4909,0.5222,0.8421
stage2,6,0.4830,0.5494,0.8699
stage2,7,0.4284,0.5066,0.8952
stage2,8,0.3610,0.4358,0.8938
stage2,9,0.3208,0.4110,0.8990
stage2,10,0.2906,0.3719,0.8964
stage2,11,0.2653,0.3369,0.9075
stage2,12,0.2301,0.3082,0.8951
stage2,13,0.2079,0.3183,0.9047
stage2,14,0.2053,0.2938,0.9032
stage2,15,0.1862,0.2979,0.9031
