stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6011,0.7854,0.7975
stage1,2,0.5105,0.5892,0.8010
stage1,3,0.5053,0.5527,0.8143
stage1,4,0.4771,0.6321,0.8284
stage1,5,0.4562,0.4618,0.8196
stage2,6,0.4681,0.5902,0.8381
stage2,7,0.3936,0.4411,0.8513
stage2,8,0.3405,0.4832,0.8508
stage2,9,0.2765,0.4457,0.8433
stage2,10,0.2459,0.3658,0.8267
stage2,11,0.2279,0.3578,0.8472
stage2,12,0.2079,0.4012,0.8681
stage2,13,0.1624,0.3704,0.8426
stage2,14,0.1505,0.3725,0.8280
stage2,15,0.1350,0.4988,0.8518
