stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6196,0.7510,0.8029
stage1,2,0.5234,0.6934,0.8183
stage1,3,0.4725,0.5626,0.8162
stage1,4,0.4721,0.6426,0.8252
stage1,5,0.4624,0.5739,0.8234
stage2,6,0.4292,0.5546,0.8296
stage2,7,0.3745,0.5565,0.8426
stage2,8,0.3295,0.4863,0.8496
stage2,9,0.2803,0.4653,0.8540
stage2,10,0.2373,0.4959,0.8511
stage2,11,0.2112,0.4717,0.8368
stage2,12,0.2067,0.4587,0.8440
stage2,13,0.1986,0.4446,0.8339
stage2,14,0.1625,0.4334,0.8190
stage2,15,0.1525,0.5768,0.8421
