stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5578,0.5900,0.8034
stage1,2,0.5235,0.4622,0.7863
stage1,3,0.5135,0.7052,0.8082
stage1,4,0.5037,0.5410,0.8131
stage1,5,0.5029,0.6794,0.8210
stage2,6,0.4691,0.4802,0.8311
stage2,7,0.4144,0.4558,0.8719
stage2,8,0.3538,0.4484,0.8678
stage2,9,0.3275,0.4288,0.8910
stage2,10,0.2920,0.3903,0.8899
stage2,11,0.2728,0.4263,0.8876
stage2,12,0.2509,0.3678,0.8881
stage2,13,0.2229,0.4076,0.8728
stage2,14,0.2260,0.3472,0.8835
stage2,15,0.1880,0.4016,0.8755
