stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5813,0.6619,0.8037
stage1,2,0.5363,0.8179,0.8186
stage1,3,0.5107,0.6759,0.8210
stage1,4,0.4716,0.5793,0.8166
stage1,5,0.4729,0.5035,0.8156
stage2,6,0.4808,0.4397,0.8443
stage2,7,0.3823,0.5053,0.8611
stage2,8,0.3395,0.4811,0.8781
stage2,9,0.3053,0.4610,0.8847
stage2,10,0.2676,0.4122,0.8667
stage2,11,0.2323,0.5418,0.8804
stage2,12,0.2228,0.4937,0.8719
stage2,13,0.2053,0.5132,0.8727
stage2,14,0.1847,0.5276,0.8777
stage2,15,0.1639,0.5792,0.8742
