stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6224,0.5270,0.8094
stage1,2,0.5250,0.7057,0.8271
stage1,3,0.5279,0.8041,0.8259
stage1,4,0.4799,0.6167,0.8245
stage1,5,0.4907,0.5977,0.8251
stage2,6,0.4590,0.4701,0.8450
stage2,7,0.3807,0.5166,0.8596
stage2,8,0.3282,0.5515,0.8699
stage2,9,0.2904,0.4148,0.8848
stage2,10,0.2499,0.4049,0.8709
stage2,11,0.2504,0.4552,0.8667
stage2,12,0.2332,0.4929,0.8846
stage2,13,0.1789,0.4886,0.8762
stage2,14,0.1588,0.3692,0.8837
stage2,15,0.1669,0.3651,0.8684
