stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5784,0.5899,0.8539
stage1,2,0.5348,0.5687,0.8587
stage1,3,0.5253,0.5605,0.8591
stage1,4,0.5211,0.5099,0.8609
stage1,5,0.5056,0.4377,0.8449
stage2,6,0.4883,0.5022,0.8718
stage2,7,0.4100,0.4391,0.8860
stage2,8,0.3628,0.4306,0.8913
stage2,9,0.3472,0.3788,0.8858
stage2,10,0.3094,0.3861,0.9048
stage2,11,0.2960,0.3187,0.9120
stage2,12,0.2516,0.4299,0.9076
stage2,13,0.2447,0.3530,0.9134
stage2,14,0.2367,0.3434,0.9035
stage2,15,0.2271,0.3451,0.9174
