stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5643,0.6904,0.8382
stage1,2,0.5219,0.7452,0.8524
stage1,3,0.5111,0.4863,0.8300
stage1,4,0.4964,0.5276,0.8332
stage1,5,0.5081,0.5990,0.8413
stage2,6,0.4727,0.4695,0.8617
stage2,7,0.4018,0.4030,0.8922
stage2,8,0.3440,0.4230,0.8959
stage2,9,0.3182,0.4750,0.9019
stage2,10,0.2729,0.3948,0.8988
stage2,11,0.2484,0.3430,0.9025
stage2,12,0.2380,0.3754,0.8956
stage2,13,0.2051,0.4299,0.8814
stage2,14,0.1872,0.4725,0.8841
stage2,15,0.1781,0.4184,0.8890
