stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5624,0.5717,0.8254
stage1,2,0.5154,0.5222,0.8295
stage1,3,0.5020,0.5264,0.8189
stage1,4,0.5007,0.5913,0.8241
stage1,5,0.5032,0.5762,0.8329
stage2,6,0.4807,0.5815,0.8628
stage2,7,0.4097,0.5318,0.8701
stage2,8,0.3577,0.3889,0.8834
stage2,9,0.3364,0.4375,0.8779
stage2,10,0.3077,0.3792,0.8932
stage2,11,0.2789,0.4477,0.8939
stage2,12,0.2448,0.3669,0.8907
stage2,13,0.2369,0.3582,0.8823
stage2,14,0.2265,0.4530,0.8802
stage2,15,0.2053,0.4134,0.8797
