stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5641,0.6800,0.8384
stage1,2,0.5260,0.5162,0.8616
stage1,3,0.5263,0.5193,0.8622
stage1,4,0.5081,0.4838,0.8588
stage1,5,0.5117,0.6072,0.8576
stage2,6,0.4867,0.5104,0.8971
stage2,7,0.4200,0.3641,0.8952
stage2,8,0.3738,0.5099,0.9163
stage2,9,0.3353,0.4617,0.8942
stage2,10,0.2878,0.3344,0.9239
stage2,11,0.2691,0.3502,0.9185
stage2,12,0.2379,0.4216,0.9233
stage2,13,0.2247,0.3663,0.9220
stage2,14,0.2064,0.3162,0.9345
stage2,15,0.1869,0.3527,0.9263
