stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5707,0.6720,0.6120
stage1,2,0.5426,0.5793,0.7354
stage1,3,0.5370,0.5127,0.7850
stage1,4,0.5418,0.4672,0.8055
stage1,5,0.5351,0.4441,0.8153
stage2,6,0.5254,0.4321,0.8246
stage2,7,0.5018,0.4179,0.8337
stage2,8,0.4857,0.4063,0.8434
stage2,9,0.4680,0.3921,0.8567
stage2,10,0.4595,0.3942,0.8699
stage2,11,0.4211,0.3903,0.8785
stage2,12,0.4149,0.3847,0.8836
stage2,13,0.4041,0.3802,0.8867
stage2,14,0.3806,0.3792,0.8891
stage2,15,0.3684,0.3744,0.8912
stage2,16,0.3663,0.3681,0.8932
stage2,17,0.3666,0.3637,0.8944
stage2,18,0.3342,0.3610,0.8951
stage2,19,0.3400,0.3584,0.8961
stage2,20,0.3407,0.3543,0.8965
stage2,21,0.3294,0.3505,0.8966
stage2,22,0.3118,0.3477,0.8963
stage2,23,0.3219,0.3449,0.8959
