stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5812,0.7005,0.7823
stage1,2,0.4989,0.6231,0.7918
stage1,3,0.4897,0.5972,0.8018
stage1,4,0.4670,0.5702,0.7940
stage1,5,0.4502,0.5724,0.7950
stage2,6,0.4821,0.4654,0.8120
stage2,7,0.3849,0.5594,0.8408
stage2,8,0.2963,0.4909,0.8325
stage2,9,0.3031,0.5502,0.8458
stage2,10,0.2373,0.5841,0.8509
stage2,11,0.2160,0.3818,0.8495
stage2,12,0.1881,0.4631,0.8564
stage2,13,0.1702,0.4546,0.8420
stage2,14,0.1297,0.4440,0.8357
stage2,15,0.1478,0.4116,0.8158
