stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5534,0.5072,0.8353
stage1,2,0.5048,0.5713,0.8432
stage1,3,0.4982,0.5220,0.8451
stage1,4,0.4912,0.4637,0.8413
stage1,5,0.4985,0.5961,0.8494
stage2,6,0.4683,0.4628,0.8779
stage2,7,0.3801,0.4728,0.8991
stage2,8,0.3378,0.3870,0.8938
stage2,9,0.3013,0.4147,0.8936
stage2,10,0.2606,0.3670,0.9027
stage2,11,0.2563,0.3598,0.8902
stage2,12,0.2259,0.3746,0.9026
stage2,13,0.2084,0.3745,0.9066
stage2,14,0.1760,0.4293,0.8903
stage2,15,0.1652,0.3686,0.9025
