stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5912,0.5189,0.7864
stage1,2,0.5159,0.6435,0.8074
stage1,3,0.5011,0.5709,0.8089
stage1,4,0.4871,0.5739,0.8086
stage1,5,0.4681,0.5728,0.8144
stage2,6,0.4753,0.4265,0.8234
stage2,7,0.4011,0.5751,0.8357
stage2,8,0.3030,0.4252,0.8441
stage2,9,0.2645,0.5674,0.8503
stage2,10,0.2420,0.5034,0.8551
stage2,11,0.2309,0.3263,0.8400
stage2,12,0.1937,0.4344,0.8554
stage2,13,0.1625,0.4261,0.8622
stage2,14,0.1497,0.6210,0.8567
stage2,15,0.1259,0.4327,0.8475
