stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5989,0.6406,0.7976
stage1,2,0.5233,0.5882,0.8084
stage1,3,0.4750,0.6092,0.8202
stage1,4,0.4890,0.6613,0.8262
stage1,5,0.4766,0.6353,0.8291
stage2,6,0.4529,0.4984,0.8372
stage2,7,0.3453,0.6446,0.8574
stage2,8,0.3003,0.4300,0.8457
stage2,9,0.2758,0.5442,0.8586
stage2,10,0.2288,0.4817,0.8647
stage2,11,0.2164,0.4064,0.8481
stage2,12,0.1912,0.4650,0.8413
stage2,13,0.1863,0.4145,0.8429
stage2,14,0.1406,0.4292,0.8420
stage2,15,0.1222,0.5030,0.8426
