stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5542,0.5857,0.8291
stage1,2,0.5212,0.5580,0.8453
stage1,3,0.5001,0.4272,0.8312
stage1,4,0.5062,0.5797,0.8371
stage1,5,0.5068,0.4372,0.8366
stage2,6,0.4714,0.4441,0.8656
stage2,7,0.4392,0.4131,0.8903
stage2,8,0.3781,0.3775,0.8649
stage2,9,0.3434,0.4442,0.9000
stage2,10,0.2917,0.4598,0.8908
stage2,11,0.2612,0.4193,0.8950
stage2,12,0.2375,0.4239,0.9016
stage2,13,0.2146,0.3637,0.9031
stage2,14,0.1973,0.3862,0.8996
stage2,15,0.1888,0.3485,0.9006
