stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5498,0.4306,0.8304
stage1,2,0.5077,0.3885,0.8383
stage1,3,0.4900,0.4053,0.8440
stage1,4,0.4942,0.3962,0.8461
stage1,5,0.4833,0.3480,0.8505
stage2,6,0.4721,0.3458,0.8771
stage2,7,0.4101,0.3830,0.8837
stage2,8,0.3856,0.3961,0.9002
stage2,9,0.3562,0.3652,0.9107
stage2,10,0.3245,0.3737,0.9034
stage2,11,0.3089,0.2932,0.9138
stage2,12,0.2961,0.3373,0.9023
stage2,13,0.2640,0.3365,0.9127
stage2,14,0.2513,0.3086,0.9204
stage2,15,0.2293,0.2985,0.9187
