stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5825,0.6338,0.6574
stage1,2,0.5580,0.5653,0.7445
stage1,3,0.5351,0.5193,0.7739
stage1,4,0.5325,0.4766,0.7950
stage1,5,0.5324,0.4508,0.8142
stage2,6,0.5250,0.4277,0.8274
stage2,7,0.4990,0.4129,0.8400
stage2,8,0.4830,0.4055,0.8490
stage2,9,0.4742,0.4016,0.8595
stage2,10,0.4486,0.4010,0.8729
stage2,11,0.4300,0.3959,0.8848
stage2,12,0.4134,0.3913,0.8923
stage2,13,0.4081,0.3887,0.8990
stage2,14,0.3865,0.3874,0.9039
stage2,15,0.3713,0.3887,0.9068
stage2,16,0.3643,0.3900,0.9078
stage2,17,0.3481,0.3869,0.9081
stage2,18,0.3380,0.3829,0.9089
stage2,19,0.3305,0.3753,0.9098
stage2,20,0.3263,0.3689,0.9091
stage2,21,0.3058,0.3620,0.9086
stage2,22,0.3066,0.3575,0.9082
stage2,23,0.3166,0.3530,0.9080
