stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5854,0.7846,0.7855
stage1,2,0.5152,0.6154,0.8004
stage1,3,0.4883,0.6095,0.8055
stage1,4,0.5079,0.5326,0.8029
stage1,5,0.4779,0.6823,0.8202
stage2,6,0.4594,0.4780,0.8482
stage2,7,0.3664,0.4412,0.8646
stage2,8,0.3186,0.3968,0.8748
stage2,9,0.3029,0.4485,0.8671
stage2,10,0.2672,0.4354,0.8782
stage2,11,0.2451,0.4114,0.8663
stage2,12,0.2175,0.3916,0.8839
stage2,13,0.1960,0.3793,0.8788
stage2,14,0.1726,0.4000,0.8722
stage2,15,0.1614,0.4022,0.8822
