stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.6104,0.6649,0.8117
stage1,2,0.5198,0.8124,0.8264
stage1,3,0.5183,0.7014,0.8333
stage1,4,0.4843,0.5397,0.8216
stage1,5,0.4707,0.5888,0.8284
stage2,6,0.4697,0.5607,0.8469
stage2,7,0.4059,0.4857,0.8752
stage2,8,0.3554,0.4002,0.8617
stage2,9,0.3271,0.4244,0.8833
stage2,10,0.2865,0.3768,0.8637
stage2,11,0.2303,0.4188,0.8778
stage2,12,0.2280,0.3402,0.8726
stage2,13,0.1815,0.4307,0.8853
stage2,14,0.1707,0.4042,0.8813
stage2,15,0.1517,0.3430,0.8727
