stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5524,0.5884,0.8103
stage1,2,0.5172,0.7569,0.8160
stage1,3,0.5025,0.6725,0.8087
stage1,4,0.4877,0.6152,0.8126
stage1,5,0.5077,0.6379,0.8147
stage2,6,0.4683,0.5089,0.8455
stage2,7,0.3899,0.4492,0.8673
stage2,8,0.3431,0.5385,0.8744
stage2,9,0.3099,0.4878,0.8703
stage2,10,0.2740,0.4169,0.8772
stage2,11,0.2449,0.3834,0.8808
stage2,12,0.2334,0.4219,0.8779
stage2,13,0.2148,0.3776,0.8871
stage2,14,0.1955,0.4077,0.8753
stage2,15,0.1865,0.4475,0.8936
