stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5761,0.6076,0.4317
stage1,2,0.5342,0.5449,0.6648
stage1,3,0.5334,0.5002,0.7486
stage1,4,0.5216,0.4718,0.7821
stage1,5,0.5245,0.4535,0.8019
stage2,6,0.5093,0.4325,0.8229
stage2,7,0.4881,0.4172,0.8421
stage2,8,0.4746,0.4032,0.8632
stage2,9,0.4523,0.3930,0.8805
stage2,10,0.4209,0.3801,0.8955
stage2,11,0.4221,0.3691,0.9061
stage2,12,0.4081,0.3619,0.9113
stage2,13,0.4119,0.3591,0.9146
stage2,14,0.3889,0.3579,0.9166
stage2,15,0.3716,0.3518,0.9172
stage2,16,0.3760,0.3548,0.9161
stage2,17,0.3494,0.3447,0.9157
stage2,18,0.3392,0.3414,0.9154
stage2,19,0.3321,0.3331,0.9157
stage2,20,0.3180,0.3235,0.9160
stage2,21,0.3111,0.3177,0.9156
