stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5869,0.5030,0.8342
stage1,2,0.5505,0.5417,0.8385
stage1,3,0.5248,0.7055,0.8404
stage1,4,0.5193,0.5400,0.8455
stage1,5,0.5195,0.5118,0.8552
stage2,6,0.4713,0.4346,0.8741
stage2,7,0.4281,0.4034,0.8885
stage2,8,0.3744,0.5112,0.9075
stage2,9,0.3256,0.3946,0.8827
stage2,10,0.3066,0.4406,0.9042
stage2,11,0.2674,0.3118,0.9008
stage2,12,0.2263,0.3498,0.9069
stage2,13,0.2355,0.3876,0.9006
stage2,14,0.2203,0.3109,0.9085
stage2,15,0.1913,0.4023,0.9096
