stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5761,0.6909,0.5771
stage1,2,0.5390,0.6141,0.7049
stage1,3,0.5466,0.5556,0.7503
stage1,4,0.5229,0.5138,0.7750
stage1,5,0.5246,0.4866,0.7976
stage2,6,0.5078,0.4701,0.8136
stage2,7,0.4866,0.4524,0.8278
stage2,8,0.4860,0.4360,0.8436
stage2,9,0.4724,0.4275,0.8573
stage2,10,0.4453,0.4222,0.8677
stage2,11,0.4347,0.4102,0.8772
stage2,12,0.4014,0.4049,0.8849
stage2,13,0.3924,0.4044,0.8901
stage2,14,0.3740,0.3988,0.8946
stage2,15,0.3830,0.3893,0.8986
stage2,16,0.3652,0.3854,0.9014
stage2,17,0.3487,0.3813,0.9031
stage2,18,0.3156,0.3724,0.9054
stage2,19,0.3441,0.3652,0.9073
stage2,20,0.3311,0.3607,0.9088
stage2,21,0.3204,0.3564,0.9096
stage2,22,0.3110,0.3512,0.9103
stage2,23,0.3084,0.3476,0.9106
